TOT_TDC (irrad=1) X,TOT_TDC (irrad=1) Y,TOT_TDC (irrad=2) X,TOT_TDC (irrad=2) Y,TOT_TDC (irrad=3) X,TOT_TDC (irrad=3) Y,TOA_TDC (irrad=1) X,TOA_TDC (irrad=1) Y,TOA_TDC (irrad=2) X,TOA_TDC (irrad=2) Y,TOA_TDC (irrad=3) X,TOA_TDC (irrad=3) Y
-149,3.24E-09,-149,3.70E-09,-149,3.60E-09,-149,7.72E-09,-149,7.56E-09,-149,7.60E-09
-148,3.28E-09,-148,3.74E-09,-148,3.42E-09,-148,7.70E-09,-148,7.54E-09,-148,7.62E-09
-147,3.32E-09,-147,3.72E-09,-147,3.62E-09,-147,7.68E-09,-147,7.50E-09,-147,7.52E-09
-146,3.36E-09,-146,3.76E-09,-146,3.54E-09,-146,7.72E-09,-146,7.48E-09,-146,7.62E-09
-145,3.42E-09,-145,3.86E-09,-145,3.58E-09,-145,7.68E-09,-145,7.48E-09,-145,7.56E-09
-144,3.42E-09,-144,3.80E-09,-144,3.58E-09,-144,7.76E-09,-144,7.50E-09,-144,7.58E-09
-143,3.32E-09,-143,3.78E-09,-143,3.70E-09,-143,7.74E-09,-143,7.50E-09,-143,7.56E-09
-142,3.40E-09,-142,3.64E-09,-142,3.54E-09,-142,7.72E-09,-142,7.54E-09,-142,7.60E-09
-141,3.34E-09,-141,3.68E-09,-141,3.54E-09,-141,7.72E-09,-141,7.54E-09,-141,7.52E-09
-140,3.30E-09,-140,3.74E-09,-140,3.62E-09,-140,7.72E-09,-140,7.54E-09,-140,7.56E-09
-139,3.36E-09,-139,3.84E-09,-139,3.56E-09,-139,7.76E-09,-139,7.54E-09,-139,7.54E-09
-138,3.24E-09,-138,3.76E-09,-138,3.48E-09,-138,7.68E-09,-138,7.50E-09,-138,7.60E-09
-137,3.36E-09,-137,3.80E-09,-137,3.48E-09,-137,7.74E-09,-137,7.50E-09,-137,7.62E-09
-136,3.34E-09,-136,3.78E-09,-136,3.46E-09,-136,7.66E-09,-136,7.52E-09,-136,7.60E-09
-135,3.36E-09,-135,3.76E-09,-135,3.48E-09,-135,7.70E-09,-135,7.50E-09,-135,7.62E-09
-134,3.40E-09,-134,3.76E-09,-134,3.48E-09,-134,7.66E-09,-134,7.52E-09,-134,7.56E-09
-133,3.42E-09,-133,3.72E-09,-133,3.56E-09,-133,7.66E-09,-133,7.58E-09,-133,7.60E-09
-132,3.42E-09,-132,3.90E-09,-132,3.46E-09,-132,7.66E-09,-132,7.50E-09,-132,7.60E-09
-131,3.26E-09,-131,3.74E-09,-131,3.62E-09,-131,7.74E-09,-131,7.54E-09,-131,7.54E-09
-130,3.42E-09,-130,3.76E-09,-130,3.60E-09,-130,7.72E-09,-130,7.50E-09,-130,7.54E-09
-129,3.24E-09,-129,3.64E-09,-129,3.44E-09,-129,7.74E-09,-129,7.54E-09,-129,7.60E-09
-128,3.30E-09,-128,3.72E-09,-128,3.66E-09,-128,7.68E-09,-128,7.54E-09,-128,7.60E-09
-127,3.40E-09,-127,3.68E-09,-127,3.62E-09,-127,7.68E-09,-127,7.50E-09,-127,7.60E-09
-126,3.32E-09,-126,3.74E-09,-126,3.62E-09,-126,7.70E-09,-126,7.50E-09,-126,7.58E-09
-125,3.30E-09,-125,3.78E-09,-125,3.58E-09,-125,7.74E-09,-125,7.50E-09,-125,7.56E-09
-124,3.28E-09,-124,3.84E-09,-124,3.54E-09,-124,7.72E-09,-124,7.50E-09,-124,7.60E-09
-123,3.42E-09,-123,3.76E-09,-123,3.64E-09,-123,7.82E-09,-123,7.50E-09,-123,7.52E-09
-122,3.26E-09,-122,3.80E-09,-122,3.44E-09,-122,7.70E-09,-122,7.54E-09,-122,7.62E-09
-121,3.42E-09,-121,3.76E-09,-121,3.50E-09,-121,7.70E-09,-121,7.50E-09,-121,7.58E-09
-120,3.44E-09,-120,3.82E-09,-120,3.62E-09,-120,7.64E-09,-120,7.46E-09,-120,7.58E-09
-119,3.32E-09,-119,3.74E-09,-119,3.52E-09,-119,7.72E-09,-119,7.54E-09,-119,7.60E-09
-118,3.30E-09,-118,3.68E-09,-118,3.66E-09,-118,7.78E-09,-118,7.54E-09,-118,7.56E-09
-117,3.40E-09,-117,3.72E-09,-117,3.54E-09,-117,7.72E-09,-117,7.48E-09,-117,7.56E-09
-116,3.26E-09,-116,3.68E-09,-116,3.60E-09,-116,7.76E-09,-116,7.50E-09,-116,7.58E-09
-115,3.42E-09,-115,3.72E-09,-115,3.56E-09,-115,7.72E-09,-115,7.48E-09,-115,7.50E-09
-114,3.24E-09,-114,3.76E-09,-114,3.60E-09,-114,7.72E-09,-114,7.52E-09,-114,7.54E-09
-113,3.34E-09,-113,3.64E-09,-113,3.60E-09,-113,7.68E-09,-113,7.56E-09,-113,7.52E-09
-112,3.44E-09,-112,3.72E-09,-112,3.60E-09,-112,7.72E-09,-112,7.50E-09,-112,7.60E-09
-111,3.30E-09,-111,3.84E-09,-111,3.56E-09,-111,7.70E-09,-111,7.48E-09,-111,7.54E-09
-110,3.26E-09,-110,3.74E-09,-110,3.54E-09,-110,7.78E-09,-110,7.54E-09,-110,7.58E-09
-109,3.32E-09,-109,3.78E-09,-109,3.60E-09,-109,7.80E-09,-109,7.48E-09,-109,7.56E-09
-108,3.14E-09,-108,3.72E-09,-108,3.56E-09,-108,7.70E-09,-108,7.52E-09,-108,7.62E-09
-107,3.36E-09,-107,3.82E-09,-107,3.62E-09,-107,7.76E-09,-107,7.50E-09,-107,7.58E-09
-106,3.44E-09,-106,3.76E-09,-106,3.64E-09,-106,7.72E-09,-106,7.48E-09,-106,7.54E-09
-105,3.40E-09,-105,3.72E-09,-105,3.56E-09,-105,7.66E-09,-105,7.52E-09,-105,7.54E-09
-104,3.40E-09,-104,3.80E-09,-104,3.52E-09,-104,7.72E-09,-104,7.48E-09,-104,7.56E-09
-103,3.34E-09,-103,3.80E-09,-103,3.62E-09,-103,7.68E-09,-103,7.48E-09,-103,7.54E-09
-102,3.28E-09,-102,3.76E-09,-102,3.60E-09,-102,7.72E-09,-102,7.46E-09,-102,7.60E-09
-101,3.30E-09,-101,3.70E-09,-101,3.68E-09,-101,7.74E-09,-101,7.50E-09,-101,7.56E-09
-100,3.40E-09,-100,3.74E-09,-100,3.54E-09,-100,7.72E-09,-100,7.54E-09,-100,7.56E-09
-99,3.28E-09,-99,3.74E-09,-99,3.66E-09,-99,7.70E-09,-99,7.56E-09,-99,7.56E-09
-98,3.32E-09,-98,3.76E-09,-98,3.70E-09,-98,7.80E-09,-98,7.50E-09,-98,7.54E-09
-97,3.32E-09,-97,3.74E-09,-97,3.56E-09,-97,7.66E-09,-97,7.56E-09,-97,7.56E-09
-96,3.30E-09,-96,3.72E-09,-96,3.56E-09,-96,7.72E-09,-96,7.50E-09,-96,7.60E-09
-95,3.24E-09,-95,3.72E-09,-95,3.46E-09,-95,7.74E-09,-95,7.50E-09,-95,7.64E-09
-94,3.36E-09,-94,3.78E-09,-94,3.58E-09,-94,7.64E-09,-94,7.52E-09,-94,7.56E-09
-93,3.32E-09,-93,3.86E-09,-93,3.60E-09,-93,7.78E-09,-93,7.52E-09,-93,7.60E-09
-92,3.24E-09,-92,3.76E-09,-92,3.62E-09,-92,7.80E-09,-92,7.54E-09,-92,7.56E-09
-91,3.46E-09,-91,3.82E-09,-91,3.56E-09,-91,7.74E-09,-91,7.42E-09,-91,7.58E-09
-90,3.58E-09,-90,3.82E-09,-90,3.60E-09,-90,7.74E-09,-90,7.54E-09,-90,7.60E-09
-89,3.38E-09,-89,3.76E-09,-89,3.46E-09,-89,7.74E-09,-89,7.54E-09,-89,7.60E-09
-88,3.24E-09,-88,3.72E-09,-88,3.46E-09,-88,7.72E-09,-88,7.52E-09,-88,7.60E-09
-87,3.28E-09,-87,3.78E-09,-87,3.64E-09,-87,7.72E-09,-87,7.54E-09,-87,7.56E-09
-86,3.34E-09,-86,3.80E-09,-86,3.58E-09,-86,7.72E-09,-86,7.52E-09,-86,7.54E-09
-85,3.38E-09,-85,3.76E-09,-85,3.64E-09,-85,7.72E-09,-85,7.50E-09,-85,7.56E-09
-84,3.32E-09,-84,3.74E-09,-84,3.48E-09,-84,7.72E-09,-84,7.48E-09,-84,7.60E-09
-83,3.42E-09,-83,3.74E-09,-83,3.62E-09,-83,7.76E-09,-83,7.56E-09,-83,7.58E-09
-82,3.32E-09,-82,3.70E-09,-82,3.68E-09,-82,7.78E-09,-82,7.52E-09,-82,7.60E-09
-81,3.40E-09,-81,3.72E-09,-81,3.50E-09,-81,7.68E-09,-81,7.54E-09,-81,7.54E-09
-80,3.30E-09,-80,3.86E-09,-80,3.56E-09,-80,7.76E-09,-80,7.48E-09,-80,7.58E-09
-79,3.32E-09,-79,3.68E-09,-79,3.60E-09,-79,7.68E-09,-79,7.50E-09,-79,7.54E-09
-78,3.52E-09,-78,3.80E-09,-78,3.60E-09,-78,7.68E-09,-78,7.50E-09,-78,7.56E-09
-77,3.38E-09,-77,3.74E-09,-77,3.50E-09,-77,7.68E-09,-77,7.52E-09,-77,7.62E-09
